adress,info,price,district,date,street,dom,clean,rooms,m2,floor,max_floors,rubm2
"Краснопресненская, 7","
 3-к квартира, 85.6 м², 1/3 эт.
 ",2270000,р-н Советский,20 июля 20:40,Краснопресненская,7,Краснопресненская 7,"
 3",85.6,1,3,26518.69158878505
"б-р Энгельса, 3","
 3-к квартира, 60.7 м², 4/5 эт.
 ",2390000,р-н Красноармейский,20 июля 20:40,б-р Энгельса,3,б-р Энгельса 3,"
 3",60.7,4,5,39373.97034596375
" Никитина, 121","
 3-к квартира, 64.2 м², 13/16 эт.
 ",2460000,р-н Кировский,20 июля 20:40,Никитина,121,Никитина 121,"
 3",64.2,13,16,38317.75700934579
" Жолудева, 8","
 3-к квартира, 69.3 м², 2/4 эт.
 ",2100000,р-н Тракторозаводский,20 июля 20:40,Жолудева,8,Жолудева 8,"
 3",69.3,2,4,30303.030303030304
" Милиционера Буханцева, 38","
 3-к квартира, 59.3 м², 5/9 эт.
 ",2400000,р-н Ворошиловский,20 июля 20:40,Милиционера Буханцева,38,Милиционера Буханцева 38,"
 3",59.3,5,9,40472.17537942665
"пр-кт В.И. Ленина, 81","
 3-к квартира, 76.5 м², 1/5 эт.
 ",2300000,р-н Краснооктябрьский,20 июля 20:40,пр-кт В.И. Ленина,81,пр-кт В.И. Ленина 81,"
 3",76.5,1,5,30065.359477124184
"Богунская, 33","
 3-к квартира, 54.6 м², 4/4 эт.
 ",2100000,р-н Краснооктябрьский,20 июля 20:40,Богунская,33,Богунская 33,"
 3",54.6,4,4,38461.53846153846
" Саши Чекалина, 1","
 3-к квартира, 61.8 м², 1/2 эт.
 ",1669999,р-н Кировский,20 июля 20:40,Саши Чекалина,1,Саши Чекалина 1,"
 3",61.8,1,2,27022.637540453077
" Хиросимы, 1","
 3-к квартира, 60.7 м², 8/9 эт.
 ",4500000,р-н Центральный,20 июля 20:40,Хиросимы,1,Хиросимы 1,"
 3",60.7,8,9,74135.09060955519
" Демьяна Бедного, 5","
 3-к квартира, 63.4 м², 2/2 эт.
 ",1980000,р-н Тракторозаводский,20 июля 20:40,Демьяна Бедного,5,Демьяна Бедного 5,"
 3",63.4,2,2,31230.283911671926
" Канунникова, 1","
 3-к квартира, 73.3 м², 2/5 эт.
 ",4900000,р-н Ворошиловский,20 июля 20:40,Канунникова,1,Канунникова 1,"
 3",73.3,2,5,66848.56753069577
" Рокоссовского, 52","
 3-к квартира, 59.6 м², 3/9 эт.
 ",3290000,р-н Центральный,20 июля 20:40,Рокоссовского,52,Рокоссовского 52,"
 3",59.6,3,9,55201.342281879195
" Дзержинского, 24","
 3-к квартира, 63.5 м², 5/5 эт.
 ",2350000,р-н Тракторозаводский,20 июля 20:40,Дзержинского,24,Дзержинского 24,"
 3",63.5,5,5,37007.87401574803
"Донецкая, 16А","
 3-к квартира, 114.6 м², 7/25 эт.
 ",8500000,р-н Центральный,20 июля 20:40,Донецкая,16,Донецкая 16,"
 3",114.6,7,25,74171.02966841187
" Никитина, 139","
 3-к квартира, 66.7 м², 6/9 эт.
 ",4500000,р-н Кировский,20 июля 20:40,Никитина,139,Никитина 139,"
 3",66.7,6,9,67466.26686656672
" Военный городок, 1","
 3-к квартира, 50.8 м², 4/5 эт.
 ",1750000,р-н Кировский,20 июля 20:40,Военный городок,1,Военный городок 1,"
 3",50.8,4,5,34448.8188976378
" ПортСаида, 9","
 3-к квартира, 57.4 м², 1/5 эт.
 ",3800000,р-н Центральный,20 июля 20:19,ПортСаида,9,ПортСаида 9,"
 3",57.4,1,5,66202.0905923345
"Ярославская, 10","
 3-к квартира, 147.6 м², 9/9 эт.
 ",8000000,р-н Советский,20 июля 20:19,Ярославская,10,Ярославская 10,"
 3",147.6,9,9,54200.54200542006
" 40 лет ВЛКСМ, 27","
 3-к квартира, 55.1 м², 4/4 эт.
 ",1550000,р-н Красноармейский,20 июля 18:12,40 лет ВЛКСМ,27,40 лет ВЛКСМ 27,"
 3",55.1,4,4,28130.671506352086
"пр-кт маршала Жукова, 147","
 3-к квартира, 73 м², 3/5 эт.
 ",2870000,р-н Дзержинский,20 июля 19:22,пр-кт маршала Жукова,147,пр-кт маршала Жукова 147,"
 3",73.0,3,5,39315.068493150684
" Глазкова, 23А","
 3-к квартира, 96 м², 8/10 эт.
 ",3980000,р-н Центральный,20 июля 19:05,Глазкова,23,Глазкова 23,"
 3",96.0,8,10,41458.333333333336
" Панферова, 8","
 3-к квартира, 62.3 м², 5/9 эт.
 ",2500000,р-н Красноармейский,20 июля 18:42,Панферова,8,Панферова 8,"
 3",62.3,5,9,40128.41091492777
"Изобильная, 4","
 3-к квартира, 68.7 м², 2/9 эт.
 ",3250000,р-н Красноармейский,20 июля 17:47,Изобильная,4,Изобильная 4,"
 3",68.7,2,9,47307.13245997088
"Удмуртская, 87","
 3-к квартира, 56.4 м², 4/4 эт.
 ",1550000,р-н Красноармейский,20 июля 17:47,Удмуртская,87,Удмуртская 87,"
 3",56.4,4,4,27482.2695035461
"б-р Энгельса, 36","
 3-к квартира, 66.9 м², 9/9 эт.
 ",2800000,р-н Красноармейский,18 июля 12:45,б-р Энгельса,36,б-р Энгельса 36,"
 3",66.9,9,9,41853.51270553064
"район Семь Ветров,б-р 30летия Победы, 38","
 3-к квартира, 79 м², 6/18 эт.
 ",4350000,р-н Дзержинский,20 июля 17:46,б-р 30летия Победы,38,б-р 30летия Победы 38,"
 3",79.0,6,18,55063.29113924051
" 51 Гвардейской дивизии, 36к1","
 3-к квартира, 79 м², 9/10 эт.
 ",3600000,р-н Дзержинский,20 июля 17:42,51 Гвардейской дивизии,36,51 Гвардейской дивизии 36,"
 3",79.0,9,10,45569.620253164554
"Брестская, 21","
 3-к квартира, 61 м², 3/5 эт.
 ",2400000,р-н Красноармейский,20 июля 17:37,Брестская,21,Брестская 21,"
 3",61.0,3,5,39344.262295081964
" Милиционера Буханцева, 72","
 3-к квартира, 58 м², 2/5 эт.
 ",2399000,р-н Ворошиловский,20 июля 17:37,Милиционера Буханцева,72,Милиционера Буханцева 72,"
 3",58.0,2,5,41362.06896551724
"Невская, 2","
 3-к квартира, 74 м², 5/5 эт.
 ",3790000,р-н Центральный,20 июля 17:38,Невская,2,Невская 2,"
 3",74.0,5,5,51216.21621621621
" генерала Штеменко, 16","
 3-к квартира, 58.1 м², 1/5 эт.
 ",2850000,р-н Краснооктябрьский,20 июля 17:37,генерала Штеменко,16,генерала Штеменко 16,"
 3",58.1,1,5,49053.35628227195
"Нарвская, 10","
 3-к квартира, 68.4 м², 1/10 эт.
 ",3500000,р-н Дзержинский,20 июля 17:34,Нарвская,10,Нарвская 10,"
 3",68.4,1,10,51169.59064327485
" Федотова, 4","
 3-к квартира, 59 м², 6/6 эт.
 ",2400000,р-н Кировский,20 июля 17:34,Федотова,4,Федотова 4,"
 3",59.0,6,6,40677.96610169492
" Дзержинского, 22","
 3-к квартира, 90.7 м², 2/5 эт.
 ",2500000,р-н Тракторозаводский,20 июля 17:33,Дзержинского,22,Дзержинского 22,"
 3",90.7,2,5,27563.395810363836
" Хиросимы, 20","
 3-к квартира, 71 м², 7/16 эт.
 ",4050000,р-н Центральный,20 июля 17:35,Хиросимы,20,Хиросимы 20,"
 3",71.0,7,16,57042.25352112676
"Волгоград, Кирова, 137","
 3-к квартира, 61 м², 1/5 эт.
 ",2300000,р-н Кировский,20 июля 17:22,Кирова,137,Кирова 137,"
 3",61.0,1,5,37704.91803278688
" Землячки, 66","
 3-к квартира, 64.7 м², 8/9 эт.
 ",3080000,р-н Дзержинский,,Землячки,66,Землячки 66,"
 3",64.7,8,9,47604.32766615147
"Невская, 7А","
 3-к квартира, 56.1 м², 4/5 эт.
 ",3200000,р-н Центральный,,Невская,7,Невская 7,"
 3",56.1,4,5,57040.998217468805
" Дзержинского, 30","
 3-к квартира, 75.1 м², 3/4 эт.
 ",1730000,р-н Тракторозаводский,20 июля 17:00,Дзержинского,30,Дзержинского 30,"
 3",75.1,3,4,23035.95206391478
" 51 Гвардейской дивизии, 30","
 3-к квартира, 94.7 м², 2/9 эт.
 ",3190000,р-н Дзержинский,20 июля 16:47,51 Гвардейской дивизии,30,51 Гвардейской дивизии 30,"
 3",94.7,2,9,33685.32206969377
" 51 Гвардейской дивизии, 23","
 3-к квартира, 58 м², 4/5 эт.
 ",1900000,р-н Дзержинский,20 июля 16:00,51 Гвардейской дивизии,23,51 Гвардейской дивизии 23,"
 3",58.0,4,5,32758.620689655174
"Пугачевская, 20","
 3-к квартира, 108 м², 9/16 эт.
 ",9000000,р-н Ворошиловский,,Пугачевская,20,Пугачевская 20,"
 3",108.0,9,16,83333.33333333333
" Льва Толстого, 1Б","
 3-к квартира, 99.8 м², 6/10 эт.
 ",6200000,р-н Советский,,Льва Толстого,1,Льва Толстого 1,"
 3",99.8,6,10,62124.24849699399
"район Семь Ветров, 8 Воздушной Армии, 10А","
 3-к квартира, 84 м², 16/19 эт.
 ",5599999,р-н Дзержинский,,8 Воздушной Армии,10,8 Воздушной Армии 10,"
 3",84.0,16,19,66666.65476190476
"Волгоград, Двинская, 18","
 3-к квартира, 58 м², 8/9 эт.
 ",3100000,р-н Центральный,20 июля 15:06,Двинская,18,Двинская 18,"
 3",58.0,8,9,53448.275862068964
"пр-кт В.И. Ленина, 6","
 3-к квартира, 75 м², 7/9 эт.
 ",4100000,р-н Центральный,20 июля 15:55,пр-кт В.И. Ленина,6,пр-кт В.И. Ленина 6,"
 3",75.0,7,9,54666.666666666664
"Батальонная, 13А","
 3-к квартира, 110 м², 15/20 эт.
 ",7700000,р-н Центральный,20 июля 15:48,Батальонная,13,Батальонная 13,"
 3",110.0,15,20,70000.0
"Невская, 18Б","
 3-к квартира, 83.3 м², 2/9 эт.
 ",4500000,р-н Центральный,20 июля 15:19,Невская,18,Невская 18,"
 3",83.3,2,9,54021.60864345739
" ПортСаида, 6","
 3-к квартира, 87 м², 3/8 эт.
 ",8700000,р-н Центральный,20 июля 15:09,ПортСаида,6,ПортСаида 6,"
 3",87.0,3,8,100000.0
"пр-кт маршала Жукова, 112","
 3-к квартира, 96 м², 3/10 эт.
 ",6200000,р-н Дзержинский,20 июля 15:04,пр-кт маршала Жукова,112,пр-кт маршала Жукова 112,"
 3",96.0,3,10,64583.333333333336
" Ангарский, Тургенева, 6","
 3-к квартира, 61 м², 1/5 эт.
 ",2260000,р-н Дзержинский,20 июля 15:02,Тургенева,6,Тургенева 6,"
 3",61.0,1,5,37049.18032786885
" Моцарта, 17А","
 3-к квартира, 74 м², 1/3 эт.
 ",1160000,р-н Красноармейский,20 июля 14:57,Моцарта,17,Моцарта 17,"
 3",74.0,1,3,15675.675675675675
"Авиаторская, 2","
 3-к квартира, 64 м², 5/16 эт.
 ",3549000,р-н Советский,20 июля 14:52,Авиаторская,2,Авиаторская 2,"
 3",64.0,5,16,55453.125
" Рихарда Зорге, 60","
 3-к квартира, 63.8 м², 9/9 эт.
 ",2850000,р-н Краснооктябрьский,20 июля 14:57,Рихарда Зорге,60,Рихарда Зорге 60,"
 3",63.8,9,9,44670.84639498433
" Байдакова, 9А","
 3-к квартира, 60 м², 2/2 эт.
 ",1690000,р-н Дзержинский,20 июля 14:44,Байдакова,9,Байдакова 9,"
 3",60.0,2,2,28166.666666666668
"рабочий Южный, 3","
 3-к квартира, 64.5 м², 4/9 эт.
 ",2050000,р-н Красноармейский,20 июля 14:47,рабочий Южный,3,рабочий Южный 3,"
 3",64.5,4,9,31782.945736434107
"Гагринская, 7","
 3-к квартира, 69 м², 9/9 эт.
 ",2450000,р-н Красноармейский,20 июля 13:40,Гагринская,7,Гагринская 7,"
 3",69.0,9,9,35507.24637681159
" Луговского, 7","
 3-к квартира, 51.1 м², 2/5 эт.
 ",2100000,р-н Тракторозаводский,20 июля 14:29,Луговского,7,Луговского 7,"
 3",51.1,2,5,41095.890410958906
" Лермонтова, 30","
 3-к квартира, 75.7 м², 2/9 эт.
 ",3650000,р-н Краснооктябрьский,20 июля 14:10,Лермонтова,30,Лермонтова 30,"
 3",75.7,2,9,48216.64464993395
"Иркутская, 7","
 3-к квартира, 60 м², 3/5 эт.
 ",3690000,р-н Ворошиловский,20 июля 14:00,Иркутская,7,Иркутская 7,"
 3",60.0,3,5,61500.0
"микрорайон Жилгородок, Республиканская, 6","
 3-к квартира, 42.6 м², 4/5 эт.
 ",1530000,р-н Дзержинский,20 июля 13:18,Республиканская,6,Республиканская 6,"
 3",42.6,4,5,35915.49295774648
"наб Волжской Флотилии, 33","
 3-к квартира, 64.1 м², 9/9 эт.
 ",2630000,р-н Тракторозаводский,20 июля 13:40,наб Волжской Флотилии,33,наб Волжской Флотилии 33,"
 3",64.1,9,9,41029.64118564743
" Грамши, 51","
 3-к квартира, 62 м², 5/9 эт.
 ",3100000,р-н Тракторозаводский,20 июля 13:38,Грамши,51,Грамши 51,"
 3",62.0,5,9,50000.0
" Сакко и Ванцетти, Луговая, 142","
 3-к квартира, 74.6 м², 6/9 эт.
 ",2050000,р-н Красноармейский,20 июля 13:40,Луговая,142,Луговая 142,"
 3",74.6,6,9,27479.892761394105
"район Семь Ветров, Константина Симонова, 24","
 3-к квартира, 69 м², 3/9 эт.
 ",3700000,р-н Дзержинский,20 июля 13:14,Константина Симонова,24,Константина Симонова 24,"
 3",69.0,3,9,53623.188405797104
"Пролетарская, 55","
 3-к квартира, 60 м², 7/9 эт.
 ",3190000,р-н Красноармейский,20 июля 12:46,Пролетарская,55,Пролетарская 55,"
 3",60.0,7,9,53166.666666666664
"Гражданская, 24","
 3-к квартира, 64.5 м², 6/9 эт.
 ",2850000,р-н Красноармейский,20 июля 12:46,Гражданская,24,Гражданская 24,"
 3",64.5,6,9,44186.04651162791
" 50 лет Октября, 36А","
 3-к квартира, 92 м², 8/9 эт.
 ",4850000,р-н Красноармейский,20 июля 12:45,50 лет Октября,36,50 лет Октября 36,"
 3",92.0,8,9,52717.391304347824
"пр-кт Героев Сталинграда, 5","
 3-к квартира, 56 м², 2/5 эт.
 ",2650000,р-н Красноармейский,20 июля 12:42,пр-кт Героев Сталинграда,5,пр-кт Героев Сталинграда 5,"
 3",56.0,2,5,47321.42857142857
" Вучетича, 24","
 3-к квартира, 62 м², 3/5 эт.
 ",1850000,р-н Красноармейский,20 июля 12:22,Вучетича,24,Вучетича 24,"
 3",62.0,3,5,29838.709677419356
" КИМ, 10А","
 3-к квартира, 43.3 м², 3/5 эт.
 ",2670000,р-н Ворошиловский,20 июля 12:28,КИМ,10,КИМ 10,"
 3",43.3,3,5,61662.81755196305
"Новороссийская, 8","
 3-к квартира, 105 м², 16/18 эт.
 ",7700000,р-н Центральный,20 июля 12:11,Новороссийская,8,Новороссийская 8,"
 3",105.0,16,18,73333.33333333333
"Библиотечная, 13","
 3-к квартира, 64.1 м², 9/10 эт.
 ",2850000,р-н Краснооктябрьский,20 июля 12:14,Библиотечная,13,Библиотечная 13,"
 3",64.1,9,10,44461.77847113885
" маршала Еременко, 68","
 3-к квартира, 65.5 м², 3/9 эт.
 ",3350000,р-н Краснооктябрьский,20 июля 12:13,маршала Еременко,68,маршала Еременко 68,"
 3",65.5,3,9,51145.03816793893
"район Семь Ветров, 8 Воздушной Армии, 40","
 3-к квартира, 64 м², 8/9 эт.
 ",3200000,р-н Дзержинский,20 июля 12:00,8 Воздушной Армии,40,8 Воздушной Армии 40,"
 3",64.0,8,9,50000.0
"Бобруйская, 2","
 3-к квартира, 57 м², 5/5 эт.
 ",2560000,р-н Ворошиловский,20 июля 11:50,Бобруйская,2,Бобруйская 2,"
 3",57.0,5,5,44912.28070175439
" Калинина, 2Б","
 3-к квартира, 98 м², 21/24 эт.
 ",9500000,р-н Ворошиловский,20 июля 11:42,Калинина,2,Калинина 2,"
 3",98.0,21,24,96938.77551020408
" Кузнецова, 34","
 3-к квартира, 84.9 м², 2/4 эт.
 ",3000000,р-н Краснооктябрьский,20 июля 11:31,Кузнецова,34,Кузнецова 34,"
 3",84.9,2,4,35335.68904593639
"пр-кт маршала Жукова, 100","
 3-к квартира, 112 м², 4/12 эт.
 ",5100000,р-н Дзержинский,20 июля 11:29,пр-кт маршала Жукова,100,пр-кт маршала Жукова 100,"
 3",112.0,4,12,45535.71428571428
"Гражданская, 34","
 3-к квартира, 64 м², 9/9 эт.
 ",2700000,р-н Красноармейский,20 июля 11:15,Гражданская,34,Гражданская 34,"
 3",64.0,9,9,42187.5
"Чигиринская, 2","
 3-к квартира, 75 м², 7/9 эт.
 ",3470000,р-н Ворошиловский,20 июля 11:12,Чигиринская,2,Чигиринская 2,"
 3",75.0,7,9,46266.666666666664
"пр-кт Героев Сталинграда, 48","
 3-к квартира, 59 м², 4/9 эт.
 ",3100000,р-н Красноармейский,20 июля 11:03,пр-кт Героев Сталинграда,48,пр-кт Героев Сталинграда 48,"
 3",59.0,4,9,52542.372881355936
" Николая Отрады, 21","
 3-к квартира, 64 м², 11/16 эт.
 ",2600000,р-н Тракторозаводский,20 июля 10:59,Николая Отрады,21,Николая Отрады 21,"
 3",64.0,11,16,40625.0
"Гагринская, 1","
 3-к квартира, 60.2 м², 9/9 эт.
 ",2400000,р-н Красноармейский,20 июля 10:55,Гагринская,1,Гагринская 1,"
 3",60.2,9,9,39867.109634551496
" Мясникова, 16","
 3-к квартира, 65 м², 3/5 эт.
 ",2050000,р-н Тракторозаводский,20 июля 10:53,Мясникова,16,Мясникова 16,"
 3",65.0,3,5,31538.46153846154
"Новоремесленная, 3","
 3-к квартира, 100.6 м², 8/10 эт.
 ",4660000,р-н Краснооктябрьский,20 июля 10:56,Новоремесленная,3,Новоремесленная 3,"
 3",100.6,8,10,46322.0675944334
"пр-кт Столетова, 37","
 3-к квартира, 60 м², 3/5 эт.
 ",1850000,р-н Красноармейский,20 июля 10:50,пр-кт Столетова,37,пр-кт Столетова 37,"
 3",60.0,3,5,30833.333333333332
"б-р Энгельса, 19","
 3-к квартира, 65 м², 5/9 эт.
 ",3600000,р-н Красноармейский,20 июля 10:43,б-р Энгельса,19,б-р Энгельса 19,"
 3",65.0,5,9,55384.61538461538
"пр-кт маршала Жукова, 108","
 3-к квартира, 75 м², 9/13 эт.
 ",4800000,р-н Дзержинский,20 июля 10:24,пр-кт маршала Жукова,108,пр-кт маршала Жукова 108,"
 3",75.0,9,13,64000.0
"Кузнецкая, 24","
 3-к квартира, 67 м², 3/9 эт.
 ",3650000,р-н Ворошиловский,20 июля 10:30,Кузнецкая,24,Кузнецкая 24,"
 3",67.0,3,9,54477.611940298506
" Фадеева, 25","
 3-к квартира, 58 м², 5/5 эт.
 ",1690000,р-н Красноармейский,20 июля 10:32,Фадеева,25,Фадеева 25,"
 3",58.0,5,5,29137.931034482757
" Арсеньева, 6","
 3-к квартира, 83.3 м², 3/4 эт.
 ",1153200,р-н Красноармейский,,Арсеньева,6,Арсеньева 6,"
 3",83.3,3,4,13843.937575030013
" 39й Гвардейской дивизии, 22","
 3-к квартира, 64.4 м², 8/9 эт.
 ",3320000,р-н Краснооктябрьский,,39й Гвардейской дивизии,22,39й Гвардейской дивизии 22,"
 3",64.4,8,9,51552.795031055895
" Аллея Героев, 1","
 3-к квартира, 58 м², 2/8 эт.
 ",3980000,р-н Центральный,20 июля 10:29,Аллея Героев,1,Аллея Героев 1,"
 3",58.0,2,8,68620.68965517242
"район Семь Ветров,б-р 30летия Победы, 38","
 3-к квартира, 94.4 м², 6/17 эт.
 ",5950000,р-н Дзержинский,20 июля 10:16,б-р 30летия Победы,38,б-р 30летия Победы 38,"
 3",94.4,6,17,63029.66101694915
" Николая Отрады, 10А","
 3-к квартира, 73.4 м², 4/9 эт.
 ",3970000,р-н Тракторозаводский,20 июля 10:23,Николая Отрады,10,Николая Отрады 10,"
 3",73.4,4,9,54087.19346049046
" Землячки, 66","
 3-к квартира, 64.7 м², 8/9 эт.
 ",3080000,р-н Дзержинский,,Землячки,66,Землячки 66,"
 3",64.7,8,9,47604.32766615147
"Невская, 7А","
 3-к квартира, 56.1 м², 4/5 эт.
 ",3200000,р-н Центральный,,Невская,7,Невская 7,"
 3",56.1,4,5,57040.998217468805
"Пугачевская, 20","
 3-к квартира, 108 м², 9/16 эт.
 ",9000000,р-н Ворошиловский,,Пугачевская,20,Пугачевская 20,"
 3",108.0,9,16,83333.33333333333
"пр-кт В.И. Ленина, 72Б","
 3-к квартира, 80.1 м², 8/10 эт.
 ",5600000,р-н Центральный,20 июля 10:10,пр-кт В.И. Ленина,72,пр-кт В.И. Ленина 72,"
 3",80.1,8,10,69912.60923845194
" генерала Штеменко, 41А","
 3-к квартира, 83.1 м², 9/10 эт.
 ",3590000,р-н Краснооктябрьский,20 июля 10:07,генерала Штеменко,41,генерала Штеменко 41,"
 3",83.1,9,10,43200.96269554754
" Кирова, 130Б","
 3-к квартира, 59 м², 8/9 эт.
 ",2150000,р-н Кировский,20 июля 10:14,Кирова,130,Кирова 130,"
 3",59.0,8,9,36440.67796610169
" Глазкова, 1","
 3-к квартира, 108 м², 14/19 эт.
 ",9000000,р-н Центральный,20 июля 10:18,Глазкова,1,Глазкова 1,"
 3",108.0,14,19,83333.33333333333
" Козьмы Минина, 10А","
 3-к квартира, 59 м², 4/4 эт.
 ",1990000,р-н Кировский,20 июля 10:13,Козьмы Минина,10,Козьмы Минина 10,"
 3",59.0,4,4,33728.813559322036
" Хиросимы, 7","
 3-к квартира, 59 м², 5/5 эт.
 ",2498000,р-н Центральный,20 июля 09:53,Хиросимы,7,Хиросимы 7,"
 3",59.0,5,5,42338.983050847455
" 51 Гвардейской дивизии, 14","
 3-к квартира, 66 м², 2/5 эт.
 ",2999000,р-н Дзержинский,20 июля 09:47,51 Гвардейской дивизии,14,51 Гвардейской дивизии 14,"
 3",66.0,2,5,45439.393939393936
"Историческая, 136","
 3-к квартира, 56 м², 2/5 эт.
 ",2400000,р-н Дзержинский,20 июля 09:45,Историческая,136,Историческая 136,"
 3",56.0,2,5,42857.142857142855
"Двинская, 11А","
 3-к квартира, 75.4 м², 9/10 эт.
 ",4790000,р-н Центральный,20 июля 09:45,Двинская,11,Двинская 11,"
 3",75.4,9,10,63527.85145888594
"Загорская, 1","
 3-к квартира, 65 м², 5/12 эт.
 ",2360000,р-н Тракторозаводский,20 июля 09:45,Загорская,1,Загорская 1,"
 3",65.0,5,12,36307.692307692305
"Волгоград, Ангарский, Калеганова, 7","
 3-к квартира, 63 м², 4/5 эт.
 ",2100000,р-н Дзержинский,20 июля 09:42,Калеганова,7,Калеганова 7,"
 3",63.0,4,5,33333.333333333336
