adress,info,price,district,date,street,dom,clean,rooms,m2,floor,max_floors,rubm2
"район Семь Ветров, 8 Воздушной Армии, 10А","
 3-к квартира, 84 м², 16/19 эт.
 ",5599999,р-н Дзержинский,20 июля 18:56,8 Воздушной Армии,10,8 Воздушной Армии 10,"
 3",84.0,16,19,66666.65476190476
"Невская, 7А","
 3-к квартира, 56.1 м², 4/5 эт.
 ",3200000,р-н Центральный,15 июля 13:09,Невская,7,Невская 7,"
 3",56.1,4,5,57040.998217468805
" 39й Гвардейской дивизии, 22","
 3-к квартира, 64.4 м², 8/9 эт.
 ",3320000,р-н Краснооктябрьский,20 июля 15:07,39й Гвардейской дивизии,22,39й Гвардейской дивизии 22,"
 3",64.4,8,9,51552.795031055895
" Землячки, 66","
 3-к квартира, 64.7 м², 8/9 эт.
 ",3080000,р-н Дзержинский,20 июля 11:57,Землячки,66,Землячки 66,"
 3",64.7,8,9,47604.32766615147
"Загорская, 15","
 3-к квартира, 55.3 м², 1/5 эт.
 ",1650000,р-н Тракторозаводский,20 июля 22:40,Загорская,15,Загорская 15,"
 3",55.3,1,5,29837.2513562387
"Невская, 7А","
 3-к квартира, 56.1 м², 4/5 эт.
 ",3200000,р-н Центральный,,Невская,7,Невская 7,"
 3",56.1,4,5,57040.998217468805
"Пугачевская, 20","
 3-к квартира, 108 м², 9/16 эт.
 ",9000000,р-н Ворошиловский,,Пугачевская,20,Пугачевская 20,"
 3",108.0,9,16,83333.33333333333
" Льва Толстого, 1Б","
 3-к квартира, 99.8 м², 6/10 эт.
 ",6200000,р-н Советский,,Льва Толстого,1,Льва Толстого 1,"
 3",99.8,6,10,62124.24849699399
" Карла Либкнехта, 40","
 3-к квартира, 50 м², 1/1 эт.
 ",2200000,р-н Дзержинский,20 июля 21:45,Карла Либкнехта,40,Карла Либкнехта 40,"
 3",50.0,1,1,44000.0
"Пугачевская, 20","
 3-к квартира, 108 м², 9/16 эт.
 ",9000000,р-н Ворошиловский,20 июля 09:47,Пугачевская,20,Пугачевская 20,"
 3",108.0,9,16,83333.33333333333
"район Семь Ветров, 8 Воздушной Армии, 10А","
 3-к квартира, 84 м², 16/19 эт.
 ",5599999,р-н Дзержинский,,8 Воздушной Армии,10,8 Воздушной Армии 10,"
 3",84.0,16,19,66666.65476190476
" Арсеньева, 6","
 3-к квартира, 83.3 м², 3/4 эт.
 ",1153200,р-н Красноармейский,,Арсеньева,6,Арсеньева 6,"
 3",83.3,3,4,13843.937575030013
" 39й Гвардейской дивизии, 22","
 3-к квартира, 64.4 м², 8/9 эт.
 ",3320000,р-н Краснооктябрьский,,39й Гвардейской дивизии,22,39й Гвардейской дивизии 22,"
 3",64.4,8,9,51552.795031055895
"пр-кт маршала Жукова, 157","
 3-к квартира, 56.3 м², 5/5 эт.
 ",1900000,р-н Дзержинский,20 июля 21:39,пр-кт маршала Жукова,157,пр-кт маршала Жукова 157,"
 3",56.3,5,5,33747.77975133215
"микрорайон Жилгородок, Республиканская, 6","
 3-к квартира, 59.9 м², 3/5 эт.
 ",2470000,р-н Дзержинский,20 июля 21:40,Республиканская,6,Республиканская 6,"
 3",59.9,3,5,41235.39232053422
"пр-кт Канатчиков, 1","
 3-к квартира, 77 м², 4/5 эт.
 ",2550000,р-н Красноармейский,20 июля 21:30,пр-кт Канатчиков,1,пр-кт Канатчиков 1,"
 3",77.0,4,5,33116.88311688312
" Гороховцев, 16","
 3-к квартира, 57 м², 2/9 эт.
 ",2500000,р-н Тракторозаводский,20 июля 21:30,Гороховцев,16,Гороховцев 16,"
 3",57.0,2,9,43859.649122807015
"Днестровская, 12Б","
 3-к квартира, 58 м², 4/5 эт.
 ",3199000,р-н Центральный,20 июля 21:19,Днестровская,12,Днестровская 12,"
 3",58.0,4,5,55155.1724137931
"Гражданская, 34","
 3-к квартира, 65 м², 5/9 эт.
 ",3400000,р-н Красноармейский,20 июля 20:58,Гражданская,34,Гражданская 34,"
 3",65.0,5,9,52307.692307692305
" Ивана Федорова, 1","
 3-к квартира, 55.9 м², 3/4 эт.
 ",2300000,р-н Кировский,20 июля 20:40,Ивана Федорова,1,Ивана Федорова 1,"
 3",55.9,3,4,41144.90161001789
" ГЭС, Героев Шипки, 29","
 3-к квартира, 63.7 м², 2/9 эт.
 ",2560000,р-н Тракторозаводский,20 июля 20:40,Героев Шипки,29,Героев Шипки 29,"
 3",63.7,2,9,40188.3830455259
" Кирова, 96","
 3-к квартира, 63.7 м², 1/9 эт.
 ",2670000,р-н Кировский,20 июля 20:40,Кирова,96,Кирова 96,"
 3",63.7,1,9,41915.22762951334
"Шауляйская, 2","
 3-к квартира, 84 м², 14/16 эт.
 ",3900000,р-н Советский,20 июля 20:40,Шауляйская,2,Шауляйская 2,"
 3",84.0,14,16,46428.57142857143
"Кузнецкая, 18","
 3-к квартира, 64 м², 3/9 эт.
 ",3600000,р-н Ворошиловский,20 июля 20:40,Кузнецкая,18,Кузнецкая 18,"
 3",64.0,3,9,56250.0
"Рионская, 20","
 3-к квартира, 47.9 м², 3/5 эт.
 ",2270000,р-н Дзержинский,20 июля 20:40,Рионская,20,Рионская 20,"
 3",47.9,3,5,47390.39665970772
