adress,info,price,district,date,street,dom,clean,rooms,m2,floor,max_floors,rubm2
" Грибанова, 4","1-к квартира, 37.3 м², 1/3 эт.",1790000,р-н Советский,,Грибанова,4,Грибанова 4,1,37.3,1,3,47989.27613941019
"Университетскийпр-кт, 50","1-к квартира, 31.9 м², 4/5 эт.",1400000,р-н Советский,,Университетскийпр-кт,50,Университетскийпр-кт 50,1,31.9,4,5,43887.1473354232
" Ханпаши Нурадилова, 7","1-к квартира, 51 м², 17/22 эт.",3350000,р-н Центральный,,Ханпаши Нурадилова,7,Ханпаши Нурадилова 7,1,51.0,17,22,65686.27450980392
" 64 Армии, 28","1-к квартира, 31 м², 3/5 эт.",1570000,р-н Кировский,1 июля 11:23,64 Армии,28,64 Армии 28,1,31.0,3,5,50645.16129032258
" Быстрова, 64","1-к квартира, 33.1 м², 1/9 эт.",1800000,р-н Кировский,1 июля 11:22,Быстрова,64,Быстрова 64,1,33.1,1,9,54380.664652567975
"район Семь Ветров, 8 Воздушной Армии, 6Б","1-к квартира, 51.8 м², 11/17 эт.",3300000,р-н Дзержинский,1 июля 10:07,8 Воздушной Армии,6,8 Воздушной Армии 6,1,51.8,11,17,63706.56370656371
" Канунникова, 5","1-к квартира, 30 м², 2/5 эт.",1990000,р-н Ворошиловский,,Канунникова,5,Канунникова 5,1,30.0,2,5,66333.33333333333
" Покрышкина, 11","1-к квартира, 53 м², 15/17 эт.",3750000,р-н Дзержинский,,Покрышкина,11,Покрышкина 11,1,53.0,15,17,70754.71698113208
"Селенгинская, 9","1-к квартира, 45.9 м², 1/10 эт.",3450000,р-н Центральный,,Селенгинская,9,Селенгинская 9,1,45.9,1,10,75163.39869281046
"Владимирская, 68","1-к квартира, 39.1 м², 3/9 эт.",1860000,р-н Советский,1 июля 11:18,Владимирская,68,Владимирская 68,1,39.1,3,9,47570.33248081841
"Шекснинская, 22","1-к квартира, 34.7 м², 9/9 эт.",1600000,р-н Дзержинский,1 июля 10:43,Шекснинская,22,Шекснинская 22,1,34.7,9,9,46109.510086455324
" Менжинского, 16","1-к квартира, 36 м², 9/9 эт.",1550000,р-н Тракторозаводский,1 июля 10:36,Менжинского,16,Менжинского 16,1,36.0,9,9,43055.555555555555
" Писемского, 93","1-к квартира, 33 м², 4/5 эт.",1230000,р-н Кировский,1 июля 10:33,Писемского,93,Писемского 93,1,33.0,4,5,37272.72727272727
"Инициативная, 8","1-к квартира, 31 м², 2/3 эт.",1580000,р-н Краснооктябрьский,1 июля 10:27,Инициативная,8,Инициативная 8,1,31.0,2,3,50967.74193548387
"Владимирская, 56","1-к квартира, 36.5 м², 1/3 эт.",1530000,р-н Советский,1 июля 10:21,Владимирская,56,Владимирская 56,1,36.5,1,3,41917.808219178085
"Советский район, микрорайон Горьковский, Голубятникова, 3А","1-к квартира, 33 м², 3/4 эт.",1220000,р-н Советский,1 июля 10:07,Голубятникова,3,Голубятникова 3,1,33.0,3,4,36969.69696969697
" Поддубного, 9","1-к квартира, 30.1 м², 5/5 эт.",1995000,р-н Краснооктябрьский,1 июля 09:55,Поддубного,9,Поддубного 9,1,30.1,5,5,66279.06976744186
" 51 Гвардейской дивизии, 63","1-к квартира, 36.2 м², 2/5 эт.",1750000,р-н Дзержинский,1 июля 09:15,51 Гвардейской дивизии,63,51 Гвардейской дивизии 63,1,36.2,2,5,48342.54143646408
" 70летия Победы, 6","1-к квартира, 36 м², 2/5 эт.",2100000,р-н Кировский,1 июля 08:55,70летия Победы,6,70летия Победы 6,1,36.0,2,5,58333.333333333336
" 51 Гвардейской дивизии, 19А","1-к квартира, 35 м², 5/9 эт.",1680000,р-н Дзержинский,1 июля 08:43,51 Гвардейской дивизии,19,51 Гвардейской дивизии 19,1,35.0,5,9,48000.0
"Богунская, 29","1-к квартира, 31 м², 1/5 эт.",1400000,р-н Краснооктябрьский,1 июля 08:33,Богунская,29,Богунская 29,1,31.0,1,5,45161.290322580644
" академика Богомольца, 11","1-к квартира, 32 м², 8/9 эт.",1600000,р-н Тракторозаводский,1 июля 08:30,академика Богомольца,11,академика Богомольца 11,1,32.0,8,9,50000.0
"Профсоюзная, 19","1-к квартира, 29 м², 4/5 эт.",1600000,р-н Ворошиловский,1 июля 07:23,Профсоюзная,19,Профсоюзная 19,1,29.0,4,5,55172.41379310345
" Тулака, 40","1-к квартира, 33 м², 5/5 эт.",1450000,р-н Советский,1 июля 06:53,Тулака,40,Тулака 40,1,33.0,5,5,43939.393939393936
" Николая Отрады, 6","1-к квартира, 34 м², 9/10 эт.",1700000,р-н Тракторозаводский,1 июля 00:34,Николая Отрады,6,Николая Отрады 6,1,34.0,9,10,50000.0
"Саушинская, 1","1-к квартира, 32 м², 3/5 эт.",950000,р-н Красноармейский,1 июля 00:07,Саушинская,1,Саушинская 1,1,32.0,3,5,29687.5
" 64 Армии, 79","1-к квартира, 31.9 м², 2/5 эт.",1329000,р-н Кировский,30 июня 16:27,64 Армии,79,64 Армии 79,1,31.9,2,5,41661.44200626959
" Ивана Морозова, 3","1-к квартира, 46 м², 8/9 эт.",2900000,р-н Дзержинский,30 июня 23:32,Ивана Морозова,3,Ивана Морозова 3,1,46.0,8,9,63043.47826086957
"Новороссийская, 8","1-к квартира, 39.2 м², 10/21 эт.",3000000,р-н Центральный,30 июня 23:29,Новороссийская,8,Новороссийская 8,1,39.2,10,21,76530.61224489796
" Быстрова, 100","1-к квартира, 32 м², 7/9 эт.",1970000,р-н Кировский,30 июня 23:09,Быстрова,100,Быстрова 100,1,32.0,7,9,61562.5
"Профсоюзная, 21","1-к квартира, 31 м², 1/5 эт.",1750000,р-н Ворошиловский,30 июня 22:57,Профсоюзная,21,Профсоюзная 21,1,31.0,1,5,56451.6129032258
"пр-кт маршала Жукова, 88","1-к квартира, 54 м², 9/9 эт.",3200000,р-н Дзержинский,30 июня 22:25,пр-кт маршала Жукова,88,пр-кт маршала Жукова 88,1,54.0,9,9,59259.25925925926
"микрорайон Жилгородок, Ессентукская, 11","1-к квартира, 26.6 м², 7/9 эт.",1750000,р-н Дзержинский,30 июня 21:56,Ессентукская,11,Ессентукская 11,1,26.6,7,9,65789.47368421052
" Хользунова, 34","1-к квартира, 28.8 м², 2/9 эт.",1780000,р-н Краснооктябрьский,30 июня 21:17,Хользунова,34,Хользунова 34,1,28.8,2,9,61805.555555555555
"Новороссийская, 67А","1-к квартира, 40 м², 5/10 эт.",2650000,р-н Центральный,30 июня 21:17,Новороссийская,67,Новороссийская 67,1,40.0,5,10,66250.0
"Комсомольская, 18","1-к квартира, 40 м², 5/6 эт.",3299000,р-н Центральный,30 июня 20:46,Комсомольская,18,Комсомольская 18,1,40.0,5,6,82475.0
" Грибанова, 6","1-к квартира, 32 м², 1/3 эт.",1800000,р-н Советский,30 июня 20:27,Грибанова,6,Грибанова 6,1,32.0,1,3,56250.0
" Жолудева, 11","1-к квартира, 31 м², 5/5 эт.",1190000,р-н Тракторозаводский,30 июня 20:27,Жолудева,11,Жолудева 11,1,31.0,5,5,38387.096774193546
"Варшавская, 4","1-к квартира, 42 м², 4/9 эт.",2850000,р-н Краснооктябрьский,30 июня 20:19,Варшавская,4,Варшавская 4,1,42.0,4,9,67857.14285714286
" Добрушина, 4","1-к квартира, 26 м², 3/3 эт.",1450000,р-н Советский,30 июня 20:11,Добрушина,4,Добрушина 4,1,26.0,3,3,55769.230769230766
"Рионская, 11","1-к квартира, 37 м², 3/9 эт.",1690000,р-н Дзержинский,30 июня 20:00,Рионская,11,Рионская 11,1,37.0,3,9,45675.67567567567
" Быстрова, 64","1-к квартира, 34 м², 1/9 эт.",1590000,р-н Кировский,30 июня 19:54,Быстрова,64,Быстрова 64,1,34.0,1,9,46764.705882352944
" Мирный, 45","1-к квартира, 27.3 м², 1/2 эт.",1150000,р-н Краснооктябрьский,30 июня 19:19,Мирный,45,Мирный 45,1,27.3,1,2,42124.542124542124
" Землячки, 68","1-к квартира, 38.9 м², 2/9 эт.",2540000,р-н Дзержинский,30 июня 19:49,Землячки,68,Землячки 68,1,38.9,2,9,65295.629820051414
" Хользунова, 12А","1-к квартира, 30.5 м², 5/5 эт.",1399000,р-н Краснооктябрьский,30 июня 19:17,Хользунова,12,Хользунова 12,1,30.5,5,5,45868.852459016394
"Грушевская, 7","1-к квартира, 33 м², 1/9 эт.",1760000,р-н Ворошиловский,30 июня 19:19,Грушевская,7,Грушевская 7,1,33.0,1,9,53333.333333333336
"Крестьянская, 105","1-к квартира, 31 м², 1/2 эт.",1050000,р-н Советский,30 июня 18:48,Крестьянская,105,Крестьянская 105,1,31.0,1,2,33870.967741935485
" Ангарский, Калеганова, 5","1-к квартира, 32 м², 4/5 эт.",1600000,р-н Дзержинский,30 июня 18:26,Калеганова,5,Калеганова 5,1,32.0,4,5,50000.0
"Шекснинская, 10А","1-к квартира, 39 м², 6/9 эт.",1970000,р-н Дзержинский,30 июня 18:15,Шекснинская,10,Шекснинская 10,1,39.0,6,9,50512.820512820515
" Демьяна Бедного, 2А","1-к квартира, 27.8 м², 13/16 эт.",1460000,р-н Тракторозаводский,30 июня 18:19,Демьяна Бедного,2,Демьяна Бедного 2,1,27.8,13,16,52517.98561151079
" Степанищева, 23","1-к квартира, 21 м², 3/3 эт.",1250000,р-н Советский,30 июня 18:15,Степанищева,23,Степанищева 23,1,21.0,3,3,59523.80952380953
" Малиновского, 10А","1-к квартира, 30.2 м², 1/9 эт.",1600000,р-н Советский,30 июня 18:14,Малиновского,10,Малиновского 10,1,30.2,1,9,52980.132450331126
"Загорская, 15","1-к квартира, 31.1 м², 5/5 эт.",1550000,р-н Тракторозаводский,30 июня 18:15,Загорская,15,Загорская 15,1,31.1,5,5,49839.228295819936
" Грибанова, 9А","1-к квартира, 21.3 м², 1/3 эт.",1570000,р-н Советский,30 июня 18:14,Грибанова,9,Грибанова 9,1,21.3,1,3,73708.92018779342
"район Семь Ветров,б-р 30летия Победы, 17Б","1-к квартира, 57.4 м², 3/5 эт.",3200000,р-н Дзержинский,30 июня 18:15,б-р 30летия Победы,17,б-р 30летия Победы 17,1,57.4,3,5,55749.12891986063
" Фадеева, 19","1-к квартира, 30.5 м², 1/5 эт.",1070000,р-н Красноармейский,30 июня 18:15,Фадеева,19,Фадеева 19,1,30.5,1,5,35081.96721311475
" Грибанова, 12","1-к квартира, 34.5 м², 4/4 эт.",1870000,р-н Советский,,Грибанова,12,Грибанова 12,1,34.5,4,4,54202.89855072464
" Грибанова, 4","1-к квартира, 37.3 м², 1/3 эт.",1790000,р-н Советский,,Грибанова,4,Грибанова 4,1,37.3,1,3,47989.27613941019
"Университетскийпр-кт, 50","1-к квартира, 31.9 м², 4/5 эт.",1400000,р-н Советский,,Университетскийпр-кт,50,Университетскийпр-кт 50,1,31.9,4,5,43887.1473354232
" Ангарский, Калеганова, 5","1-к квартира, 32 м², 5/5 эт.",1270000,р-н Дзержинский,30 июня 17:48,Калеганова,5,Калеганова 5,1,32.0,5,5,39687.5
" Грибанова, 9А","1-к квартира, 38.1 м², 2/3 эт.",1940000,р-н Советский,30 июня 17:48,Грибанова,9,Грибанова 9,1,38.1,2,3,50918.63517060367
"Изобильная, 4","1-к квартира, 38.4 м², 7/9 эт.",2170000,р-н Красноармейский,30 июня 17:48,Изобильная,4,Изобильная 4,1,38.4,7,9,56510.41666666667
" Ханпаши Нурадилова, 7","1-к квартира, 51 м², 17/22 эт.",3350000,р-н Центральный,,Ханпаши Нурадилова,7,Ханпаши Нурадилова 7,1,51.0,17,22,65686.27450980392
" Канунникова, 5","1-к квартира, 30 м², 2/5 эт.",1990000,р-н Ворошиловский,,Канунникова,5,Канунникова 5,1,30.0,2,5,66333.33333333333
" Покрышкина, 11","1-к квартира, 53 м², 15/17 эт.",3750000,р-н Дзержинский,,Покрышкина,11,Покрышкина 11,1,53.0,15,17,70754.71698113208
"пр-кт В.И. Ленина, 21","1-к квартира, 59.3 м², 2/6 эт.",3900000,р-н Центральный,30 июня 17:48,пр-кт В.И. Ленина,21,пр-кт В.И. Ленина 21,1,59.3,2,6,65767.2849915683
" Байдакова, 8","1-к квартира, 40 м², 1/2 эт.",1270000,р-н Дзержинский,30 июня 17:13,Байдакова,8,Байдакова 8,1,40.0,1,2,31750.0
" Пархоменко, 2А","1-к квартира, 28 м², 15/16 эт.",2490000,р-н Центральный,30 июня 17:21,Пархоменко,2,Пархоменко 2,1,28.0,15,16,88928.57142857143
"пр-кт Героев Сталинграда, 44А","1-к квартира, 42.7 м², 10/11 эт.",2550000,р-н Красноармейский,30 июня 17:19,пр-кт Героев Сталинграда,44,пр-кт Героев Сталинграда 44,1,42.7,10,11,59718.969555035124
"Российская, 7","1-к квартира, 29.8 м², 1/5 эт.",1370000,р-н Красноармейский,30 июня 16:20,Российская,7,Российская 7,1,29.8,1,5,45973.154362416106
"Песчанокопская, 15","1-к квартира, 38.1 м², 5/9 эт.",2049000,р-н Советский,30 июня 13:17,Песчанокопская,15,Песчанокопская 15,1,38.1,5,9,53779.52755905512
" 64 Армии, 131","1-к квартира, 33 м², 5/5 эт.",1430000,р-н Кировский,30 июня 16:05,64 Армии,131,64 Армии 131,1,33.0,5,5,43333.333333333336
" Космонавтов, 39","1-к квартира, 42.5 м², 5/9 эт.",2100000,р-н Дзержинский,30 июня 16:02,Космонавтов,39,Космонавтов 39,1,42.5,5,9,49411.76470588235
"Университетскийпр-кт, 50","1-к квартира, 32 м², 4/5 эт.",1380000,р-н Советский,30 июня 15:16,Университетскийпр-кт,50,Университетскийпр-кт 50,1,32.0,4,5,43125.0
" Дзержинского, 38","1-к квартира, 32.1 м², 4/5 эт.",1160000,р-н Тракторозаводский,30 июня 15:09,Дзержинского,38,Дзержинского 38,1,32.1,4,5,36137.071651090344
"Логовская, 6","1-к квартира, 21.8 м², 4/5 эт.",1250000,р-н Советский,30 июня 15:09,Логовская,6,Логовская 6,1,21.8,4,5,57339.449541284404
"Советский район, территория Рабочий Горьковский, Валентины Терешковой, 9","1-к квартира, 34.6 м², 4/5 эт.",1200000,р-н Советский,30 июня 15:09,Валентины Терешковой,9,Валентины Терешковой 9,1,34.6,4,5,34682.08092485549
"Тарифная, 3","1-к квартира, 30.6 м², 4/5 эт.",1550000,р-н Краснооктябрьский,30 июня 15:09,Тарифная,3,Тарифная 3,1,30.6,4,5,50653.59477124183
"микрорайон Водстрой, Костюченко, 3А","1-к квартира, 35 м², 1/5 эт.",1160000,р-н Тракторозаводский,30 июня 15:09,Костюченко,3,Костюченко 3,1,35.0,1,5,33142.857142857145
"Советский район, территория Рабочий Горьковский, Голубятникова, 2","1-к квартира, 32.8 м², 2/2 эт.",1370000,р-н Советский,30 июня 15:09,Голубятникова,2,Голубятникова 2,1,32.8,2,2,41768.29268292683
"Советская, 20","1-к квартира, 32.5 м², 3/5 эт.",2800000,р-н Центральный,30 июня 15:09,Советская,20,Советская 20,1,32.5,3,5,86153.84615384616
" Грибанова, 20","1-к квартира, 32.8 м², 4/4 эт.",1750000,р-н Советский,30 июня 15:09,Грибанова,20,Грибанова 20,1,32.8,4,4,53353.65853658537
"Костромской, 17","1-к квартира, 23.6 м², 1/4 эт.",1400000,р-н Дзержинский,30 июня 15:09,Костромской,17,Костромской 17,1,23.6,1,4,59322.03389830508
"Советский район, территория Рабочий Горьковский, Валентины Терешковой, 6","1-к квартира, 23.3 м², 3/4 эт.",1170000,р-н Советский,30 июня 15:09,Валентины Терешковой,6,Валентины Терешковой 6,1,23.3,3,4,50214.59227467811
" Кирова, 115","1-к квартира, 28.6 м², 2/5 эт.",1320000,р-н Кировский,30 июня 15:09,Кирова,115,Кирова 115,1,28.6,2,5,46153.84615384615
