street,rooms,max_floors,count_by_street
б-р 30летия Победы,1,9,29
б-р 30летия Победы,1,10,2
б-р 30летия Победы,1,15,3
б-р 30летия Победы,1,16,13
б-р 30летия Победы,1,17,1
б-р 30летия Победы,1,19,10
б-р 30летия Победы,1,20,22
б-р 30летия Победы,1,24,8
б-р 30летия Победы,2,6,3
б-р 30летия Победы,2,9,67
б-р 30летия Победы,2,10,15
б-р 30летия Победы,2,11,11
б-р 30летия Победы,2,13,15
б-р 30летия Победы,2,14,1
б-р 30летия Победы,2,16,2
б-р 30летия Победы,2,17,4
б-р 30летия Победы,2,18,5
б-р 30летия Победы,2,19,19
б-р 30летия Победы,2,20,9
б-р 30летия Победы,2,22,1
б-р 30летия Победы,2,24,1
б-р 30летия Победы,3,5,2
б-р 30летия Победы,3,9,74
б-р 30летия Победы,3,10,15
б-р 30летия Победы,3,11,9
б-р 30летия Победы,3,13,10
б-р 30летия Победы,3,15,9
б-р 30летия Победы,3,16,1
б-р 30летия Победы,3,17,11
б-р 30летия Победы,3,18,5
б-р 30летия Победы,3,19,7
б-р 30летия Победы,3,20,7
б-р 30летия Победы,3,24,3
б-р 30летия Победы,4,6,4
б-р 30летия Победы,4,9,16
б-р 30летия Победы,4,15,1
б-р 30летия Победы,4,17,7
б-р 30летия Победы,Студия,19,9
б-р Энгельса,1,5,2
б-р Энгельса,1,9,29
б-р Энгельса,1,10,1
б-р Энгельса,1,16,15
б-р Энгельса,2,5,2
б-р Энгельса,2,9,125
б-р Энгельса,2,10,2
б-р Энгельса,2,16,7
б-р Энгельса,3,5,4
б-р Энгельса,3,9,65
б-р Энгельса,3,10,2
б-р Энгельса,3,16,2
б-р Энгельса,4,9,17
б-р Энгельса,4,16,3
гвардии полковника Добрушина,3,3,2
генерала Ватутина,2,5,6
генерала Ватутина,2,9,5
генерала Ватутина,3,5,3
генерала Ватутина,3,9,2
генерала Гуртьева,2,4,3
генерала Гуртьева,3,4,4
генерала Штеменко,1,5,29
генерала Штеменко,1,7,1
генерала Штеменко,1,9,28
генерала Штеменко,1,10,5
генерала Штеменко,1,14,1
генерала Штеменко,2,5,98
генерала Штеменко,2,6,1
генерала Штеменко,2,7,10
генерала Штеменко,2,8,6
генерала Штеменко,2,9,33
генерала Штеменко,3,5,35
генерала Штеменко,3,6,4
генерала Штеменко,3,7,1
генерала Штеменко,3,8,5
генерала Штеменко,3,9,48
генерала Штеменко,3,10,9
генерала Штеменко,4,7,2
генерала Штеменко,4,8,9
генерала Штеменко,4,9,5
генерала Шумилова,1,4,19
генерала Шумилова,1,6,11
генерала Шумилова,1,9,9
генерала Шумилова,2,3,12
генерала Шумилова,2,4,5
генерала Шумилова,2,5,10
генерала Шумилова,2,6,1
генерала Шумилова,2,9,12
генерала Шумилова,3,4,4
генерала Шумилова,3,9,2
генерала Шумилова,4,5,3
еулок Ващенко,2,3,2
еулок Ногина,1,3,1
еулок Ногина,2,3,1
еулок Успенского,1,4,1
еулок Успенского,2,5,3
им Героев Сталинграда пркт,1,9,2
квартал Опытной станции В.И.Р,1,2,2
квартал Опытной станции В.И.Р,3,5,2
квартал Опытной станции В.И.Р,4,5,3
маршала Василевского,1,2,5
маршала Василевского,1,9,5
маршала Василевского,2,9,2
маршала Василевского,2,10,1
маршала Василевского,3,9,1
маршала Василевского,4,2,1
маршала Воронова,1,9,5
маршала Воронова,1,10,3
маршала Воронова,1,14,17
маршала Воронова,1,16,9
маршала Воронова,2,9,14
маршала Воронова,2,10,17
маршала Воронова,2,14,9
маршала Воронова,2,16,21
маршала Воронова,2,18,2
маршала Воронова,3,9,18
маршала Воронова,3,10,1
маршала Воронова,Студия,15,1
маршала Воронова,Студия,16,1
маршала Еременко,1,4,18
маршала Еременко,1,5,42
маршала Еременко,1,9,46
маршала Еременко,1,10,7
маршала Еременко,1,15,1
маршала Еременко,1,16,2
маршала Еременко,2,4,15
маршала Еременко,2,5,79
маршала Еременко,2,6,6
маршала Еременко,2,9,54
маршала Еременко,2,10,24
маршала Еременко,2,11,11
маршала Еременко,3,4,2
маршала Еременко,3,5,15
маршала Еременко,3,9,35
маршала Еременко,3,10,7
маршала Еременко,3,11,12
маршала Еременко,3,16,1
маршала Еременко,4,9,6
маршала Еременко,4,10,7
маршала Рыбалко,1,9,10
маршала Рыбалко,1,10,3
маршала Рыбалко,1,14,2
маршала Рыбалко,1,16,5
маршала Рыбалко,1,18,2
маршала Рыбалко,2,5,24
маршала Рыбалко,2,9,5
маршала Рыбалко,2,10,6
маршала Рыбалко,2,16,1
маршала Рыбалко,3,5,7
маршала Рыбалко,3,9,11
маршала Рыбалко,3,10,2
маршала Рыбалко,3,14,3
маршала Рыбалко,3,16,3
маршала Рыбалко,4,5,11
маршала Рыбалко,4,9,8
маршала Рыбалко,4,14,5
маршала Рыбалко,4,16,3
маршала Толбухина,1,2,15
маршала Толбухина,1,5,3
маршала Толбухина,2,2,15
маршала Толбухина,2,4,3
маршала Толбухина,2,5,9
маршала Толбухина,3,2,3
маршала Толбухина,3,4,5
маршала Толбухина,3,5,16
маршала Чуйкова,1,5,19
маршала Чуйкова,1,6,4
маршала Чуйкова,1,21,4
маршала Чуйкова,2,5,28
маршала Чуйкова,2,24,6
маршала Чуйкова,3,5,13
маршала Чуйкова,3,6,2
маршала Чуйкова,4,5,21
маршала Чуйкова,4,6,3
маршала Чуйкова,Студия,5,1
наб Волжской Флотилии,1,9,6
наб Волжской Флотилии,1,10,12
наб Волжской Флотилии,1,16,6
наб Волжской Флотилии,2,9,14
наб Волжской Флотилии,2,10,21
наб Волжской Флотилии,2,16,2
наб Волжской Флотилии,3,8,2
наб Волжской Флотилии,3,9,22
наб Волжской Флотилии,3,11,2
наб Волжской Флотилии,3,16,9
наб Волжской Флотилии,4,16,5
набережная Волжской Флотилии,1,10,1
набережная Волжской Флотилии,2,9,4
набережная Волжской Флотилии,2,10,4
набережная Волжской Флотилии,2,16,1
набережная Волжской Флотилии,3,9,12
набережная Волжской Флотилии,3,16,1
пр Дорожников,1,9,9
пр Дорожников,Студия,9,1
пр Ленина,2,5,1
пр-кт В.И. Ленина,1,4,1
пр-кт В.И. Ленина,1,5,76
пр-кт В.И. Ленина,1,6,8
пр-кт В.И. Ленина,1,7,28
пр-кт В.И. Ленина,1,9,14
пр-кт В.И. Ленина,1,10,13
пр-кт В.И. Ленина,1,12,1
пр-кт В.И. Ленина,2,2,5
пр-кт В.И. Ленина,2,3,6
пр-кт В.И. Ленина,2,4,78
пр-кт В.И. Ленина,2,5,152
пр-кт В.И. Ленина,2,6,19
пр-кт В.И. Ленина,2,7,95
пр-кт В.И. Ленина,2,8,1
пр-кт В.И. Ленина,2,9,16
пр-кт В.И. Ленина,2,10,23
пр-кт В.И. Ленина,2,12,2
пр-кт В.И. Ленина,2,14,13
пр-кт В.И. Ленина,2,16,1
пр-кт В.И. Ленина,3,4,19
пр-кт В.И. Ленина,3,5,62
пр-кт В.И. Ленина,3,6,8
пр-кт В.И. Ленина,3,7,23
пр-кт В.И. Ленина,3,8,1
пр-кт В.И. Ленина,3,9,14
пр-кт В.И. Ленина,3,10,6
пр-кт В.И. Ленина,3,12,1
пр-кт В.И. Ленина,4,4,5
пр-кт В.И. Ленина,4,5,24
пр-кт В.И. Ленина,4,6,3
пр-кт В.И. Ленина,4,10,4
пр-кт В.И. Ленина,Студия,5,2
пр-кт В.И. Ленина,Студия,9,2
пр-кт Героев Сталинграда,1,5,89
пр-кт Героев Сталинграда,1,9,16
пр-кт Героев Сталинграда,1,10,3
пр-кт Героев Сталинграда,1,11,11
пр-кт Героев Сталинграда,1,16,6
пр-кт Героев Сталинграда,2,5,46
пр-кт Героев Сталинграда,2,9,104
пр-кт Героев Сталинграда,2,10,11
пр-кт Героев Сталинграда,2,11,1
пр-кт Героев Сталинграда,2,16,1
пр-кт Героев Сталинграда,3,5,34
пр-кт Героев Сталинграда,3,9,45
пр-кт Героев Сталинграда,3,10,4
пр-кт Героев Сталинграда,3,11,2
пр-кт Героев Сталинграда,3,16,9
пр-кт Героев Сталинграда,3,17,3
пр-кт Героев Сталинграда,4,6,2
пр-кт Героев Сталинграда,4,10,3
пр-кт Героев Сталинграда,4,11,1
пр-кт Героев Сталинграда,4,12,13
пр-кт Героев Сталинграда,4,16,2
пр-кт Героев Сталинграда,5,6,2
пр-кт Героев Сталинграда,5,12,2
пр-кт Героев Сталинграда,Студия,10,3
пр-кт Канатчиков,1,5,57
пр-кт Канатчиков,1,9,12
пр-кт Канатчиков,2,5,35
пр-кт Канатчиков,3,5,23
пр-кт Металлургов,1,4,1
пр-кт Металлургов,1,5,7
пр-кт Металлургов,1,9,1
пр-кт Металлургов,2,4,10
пр-кт Металлургов,2,5,31
пр-кт Металлургов,2,9,8
пр-кт Металлургов,3,4,4
пр-кт Металлургов,3,5,16
пр-кт Металлургов,3,6,6
пр-кт Металлургов,3,9,3
пр-кт Металлургов,3,10,2
пр-кт Металлургов,4,4,1
пр-кт Металлургов,4,5,3
пр-кт Металлургов,4,9,20
пр-кт Металлургов,5,5,3
пр-кт Столетова,1,3,4
пр-кт Столетова,1,5,24
пр-кт Столетова,1,9,18
пр-кт Столетова,2,5,16
пр-кт Столетова,2,9,22
пр-кт Столетова,2,10,2
пр-кт Столетова,3,2,2
пр-кт Столетова,3,3,4
пр-кт Столетова,3,5,17
пр-кт Столетова,3,9,7
пр-кт Столетова,3,10,3
пр-кт Столетова,4,5,6
пр-кт Столетова,4,9,11
пр-кт Столетова,4,10,2
пр-кт маршала Жукова,1,3,2
пр-кт маршала Жукова,1,5,30
пр-кт маршала Жукова,1,9,27
пр-кт маршала Жукова,1,10,8
пр-кт маршала Жукова,1,12,8
пр-кт маршала Жукова,1,13,4
пр-кт маршала Жукова,1,16,35
пр-кт маршала Жукова,1,17,3
пр-кт маршала Жукова,1,19,2
пр-кт маршала Жукова,1,23,30
пр-кт маршала Жукова,1,24,18
пр-кт маршала Жукова,2,3,1
пр-кт маршала Жукова,2,4,1
пр-кт маршала Жукова,2,5,66
пр-кт маршала Жукова,2,9,13
пр-кт маршала Жукова,2,10,7
пр-кт маршала Жукова,2,12,12
пр-кт маршала Жукова,2,13,2
пр-кт маршала Жукова,2,14,4
пр-кт маршала Жукова,2,15,3
пр-кт маршала Жукова,2,16,30
пр-кт маршала Жукова,2,17,5
пр-кт маршала Жукова,2,18,6
пр-кт маршала Жукова,2,19,8
пр-кт маршала Жукова,2,22,7
пр-кт маршала Жукова,2,23,10
пр-кт маршала Жукова,2,24,7
пр-кт маршала Жукова,3,5,47
пр-кт маршала Жукова,3,9,3
пр-кт маршала Жукова,3,10,8
пр-кт маршала Жукова,3,12,16
пр-кт маршала Жукова,3,13,1
пр-кт маршала Жукова,3,16,8
пр-кт маршала Жукова,3,18,7
пр-кт маршала Жукова,3,19,7
пр-кт маршала Жукова,3,23,8
пр-кт маршала Жукова,3,24,1
пр-кт маршала Жукова,4,23,3
пр-кт маршала Жукова,Студия,5,2
прЛенина ,3,9,4
проезд Дорожников,1,9,1
рабочий Южный,1,5,2
рабочий Южный,1,9,8
рабочий Южный,2,9,8
рабочий Южный,3,5,4
рабочий Южный,3,9,5
район Семь Ветров,1,9,1
район Семь Ветров,3,9,1
ш Авиаторов,2,2,1
