district,rooms,max_floors,rub_by_district
р-н Дзержинский,2,21,53951.89003436426
р-н Дзержинский,2,22,66651.78571428571
р-н Дзержинский,2,23,68081.20414874778
р-н Дзержинский,2,24,67999.38725490197
р-н Дзержинский,3,1,31376.19275352418
р-н Дзержинский,3,2,34025.011765065785
р-н Дзержинский,3,3,35290.92315400907
р-н Дзержинский,3,4,47938.297906724794
р-н Дзержинский,3,5,41382.71137363411
р-н Дзержинский,3,6,66583.8233993772
р-н Дзержинский,3,7,47663.551401869154
р-н Дзержинский,3,8,55619.58544101401
р-н Дзержинский,3,9,51179.28512827759
р-н Дзержинский,3,10,53175.64796012453
р-н Дзержинский,3,11,61233.673746600485
р-н Дзержинский,3,12,46729.64516168453
р-н Дзержинский,3,13,62930.07830471231
р-н Дзержинский,3,14,62917.75661005159
р-н Дзержинский,3,15,58383.00969018343
р-н Дзержинский,3,16,50764.423604161966
р-н Дзержинский,3,17,58929.9237869549
р-н Дзержинский,3,18,48396.598121732175
р-н Дзержинский,3,19,56228.86366286107
р-н Дзержинский,3,20,49511.82929964261
р-н Дзержинский,3,23,71005.78178117659
р-н Дзержинский,3,24,56001.427751588446
р-н Дзержинский,4,2,37779.189376445705
р-н Дзержинский,4,3,43415.11773230693
р-н Дзержинский,4,4,36470.58823529412
р-н Дзержинский,4,5,41885.4450643404
р-н Дзержинский,4,6,45158.60402483279
р-н Дзержинский,4,9,45751.669360212305
р-н Дзержинский,4,10,50656.93633322241
р-н Дзержинский,4,12,37894.73684210527
р-н Дзержинский,4,14,42619.18168168168
р-н Дзержинский,4,15,65359.46259985476
р-н Дзержинский,4,16,46099.947710144035
р-н Дзержинский,4,17,57626.813339111155
р-н Дзержинский,4,23,68316.83168316832
р-н Дзержинский,5,5,37862.057530695885
р-н Дзержинский,5,9,43626.584427898924
р-н Дзержинский,6,4,32547.169811320764
р-н Дзержинский,Студия,4,54135.599393614946
р-н Дзержинский,Студия,5,48936.67861409797
р-н Дзержинский,Студия,7,52619.04761904761
р-н Дзержинский,Студия,9,58044.70766542472
р-н Дзержинский,Студия,10,62661.33716554387
р-н Дзержинский,Студия,19,60151.6349563836
р-н Дзержинский,Студия,23,60322.58064516129
р-н Дзержинский,Студия,24,74127.90697674418
р-н Кировский,1,1,25942.202394157972
р-н Кировский,1,2,30858.15058521234
р-н Кировский,1,3,61083.27110884923
р-н Кировский,1,4,47863.16268589653
р-н Кировский,1,5,43097.518163750814
р-н Кировский,1,6,46206.105574686066
р-н Кировский,1,7,64449.644225506294
р-н Кировский,1,9,46608.01154022014
р-н Кировский,1,10,54166.060374119814
р-н Кировский,1,14,48126.78062678063
р-н Кировский,1,16,49680.973902494436
р-н Кировский,1,18,43634.40840195727
р-н Кировский,1,24,51942.12318167751
р-н Кировский,2,2,26323.7621850751
р-н Кировский,2,3,30042.06416152975
р-н Кировский,2,4,41030.694855907204
р-н Кировский,2,5,39073.810120513495
р-н Кировский,2,6,45786.918833727344
р-н Кировский,2,7,55266.60043053486
р-н Кировский,2,8,50691.24423963133
р-н Кировский,2,9,43531.18949330202
р-н Кировский,2,10,53468.4464905432
р-н Кировский,2,11,53761.798082926296
р-н Кировский,2,14,42698.53945625045
р-н Кировский,2,16,50637.16974923766
р-н Кировский,2,18,43811.336410073665
р-н Кировский,2,24,60370.37037037037
р-н Кировский,3,2,22068.092064950808
р-н Кировский,3,3,21548.522185359736
р-н Кировский,3,4,34768.29678112951
р-н Кировский,3,5,36533.15926899445
р-н Кировский,3,6,49861.892828835174
р-н Кировский,3,9,42295.39234314342
р-н Кировский,3,10,42199.93349127085
р-н Кировский,3,14,37384.61538461538
р-н Кировский,3,16,39928.705916907515
р-н Кировский,3,24,65298.507462686575
р-н Кировский,4,3,16314.199395770393
р-н Кировский,4,4,25706.264775413714
р-н Кировский,4,5,33044.26660996038
р-н Кировский,4,9,37379.30348224219
р-н Кировский,4,16,43577.6344546473
р-н Кировский,5,16,46363.63636363637
р-н Кировский,Своб. планировка,5,16029.411764705883
р-н Кировский,Студия,5,22535.052910052913
р-н Кировский,Студия,10,48735.63218390805
р-н Красноармейский,1,1,28451.882845188287
р-н Красноармейский,1,2,26587.756129042446
р-н Красноармейский,1,3,33806.186448488734
р-н Красноармейский,1,4,33383.45947817341
р-н Красноармейский,1,5,36677.8071032862
р-н Красноармейский,1,7,58888.888888888876
р-н Красноармейский,1,9,41282.192730221555
р-н Красноармейский,1,10,45290.01103065354
р-н Красноармейский,1,11,60164.25588962614
р-н Красноармейский,1,14,41170.94464768883
р-н Красноармейский,1,16,59960.88137718003
р-н Красноармейский,1,17,59302.32558139535
р-н Красноармейский,1,22,42650.60240963855
р-н Красноармейский,2,1,15172.436294170757
р-н Красноармейский,2,2,22073.79885708024
р-н Красноармейский,2,3,29457.636427564998
р-н Красноармейский,2,4,30581.65252940129
р-н Красноармейский,2,5,34278.17621595448
р-н Красноармейский,2,9,41177.37464902249
р-н Красноармейский,2,10,54088.8091023058
р-н Красноармейский,2,11,56107.954545454544
р-н Красноармейский,2,14,48674.24242424241
р-н Красноармейский,2,16,58092.32090752759
р-н Красноармейский,2,22,53342.94089374077
р-н Красноармейский,3,1,27810.526315789477
р-н Красноармейский,3,2,19027.1771948868
р-н Красноармейский,3,3,24608.97735284921
р-н Красноармейский,3,4,28510.859377556215
р-н Красноармейский,3,5,32847.648368693524
р-н Красноармейский,3,9,40399.160033299704
р-н Красноармейский,3,10,48385.03214393347
р-н Красноармейский,3,11,62500.0
р-н Красноармейский,3,14,45298.424819424465
р-н Красноармейский,3,16,54387.44715153516
р-н Красноармейский,3,17,44625.0
р-н Красноармейский,4,3,23271.70757765637
р-н Красноармейский,4,4,37290.918705296266
р-н Красноармейский,4,5,34242.455233335175
р-н Красноармейский,4,6,42686.713131416655
р-н Красноармейский,4,9,37345.292588880024
р-н Красноармейский,4,10,37425.23994018096
р-н Красноармейский,4,12,47541.155000335115
р-н Красноармейский,4,16,37852.9360888102
р-н Красноармейский,5,6,34979.423868312755
р-н Красноармейский,5,9,30218.691179766978
р-н Красноармейский,5,10,30224.719101123595
р-н Красноармейский,5,12,41869.918699186994
р-н Красноармейский,Своб. планировка,10,40000.0
р-н Красноармейский,Студия,1,39235.90054578532
р-н Красноармейский,Студия,4,34857.142857142855
р-н Красноармейский,Студия,9,59285.714285714275
р-н Красноармейский,Студия,10,37652.50965250965
р-н Красноармейский,Студия,16,63857.14285714286
р-н Краснооктябрьский,1,1,29677.419354838712
р-н Краснооктябрьский,1,2,39656.606354096126
р-н Краснооктябрьский,1,3,41548.83186197449
р-н Краснооктябрьский,1,4,49399.41602855776
р-н Краснооктябрьский,1,5,49110.178914329335
р-н Краснооктябрьский,1,6,57163.94020301765
р-н Краснооктябрьский,1,7,56148.963309742954
р-н Краснооктябрьский,1,8,64434.85086342229
р-н Краснооктябрьский,1,9,52752.43976496261
р-н Краснооктябрьский,1,10,55375.89942103937
р-н Краснооктябрьский,1,11,62857.67141586917
р-н Краснооктябрьский,1,15,61674.008810572675
р-н Краснооктябрьский,1,16,54588.12812373814
р-н Краснооктябрьский,1,17,49160.46348210766
р-н Краснооктябрьский,1,18,55807.635829662264
р-н Краснооктябрьский,2,1,54225.621254310034
р-н Краснооктябрьский,2,2,36465.532024770335
р-н Краснооктябрьский,2,3,37501.49375894596
р-н Краснооктябрьский,2,4,40147.55347632994
р-н Краснооктябрьский,2,5,42425.39653715344
р-н Краснооктябрьский,2,6,52673.497549179665
р-н Краснооктябрьский,2,7,43058.376662183844
р-н Краснооктябрьский,2,8,57777.357505870794
р-н Краснооктябрьский,2,9,49345.80900256042
р-н Краснооктябрьский,2,10,54628.86192092791
р-н Краснооктябрьский,2,11,61878.6662822626
р-н Краснооктябрьский,2,14,60899.800928998
р-н Краснооктябрьский,2,16,51472.65412691381
р-н Краснооктябрьский,2,17,52254.34618291762
р-н Краснооктябрьский,2,18,64267.857142857145
р-н Краснооктябрьский,3,2,30723.33935061921
р-н Краснооктябрьский,3,3,36110.06708160784
р-н Краснооктябрьский,3,4,39795.09134858579
р-н Краснооктябрьский,3,5,41666.068257949824
р-н Краснооктябрьский,3,6,45416.12130980007
р-н Краснооктябрьский,3,7,49397.23520147617
р-н Краснооктябрьский,3,8,44302.0935565536
р-н Краснооктябрьский,3,9,49461.87234361663
р-н Краснооктябрьский,3,10,55898.42413068145
р-н Краснооктябрьский,3,11,53044.70216529494
р-н Краснооктябрьский,3,14,46107.2336741871
р-н Краснооктябрьский,3,16,48614.499369328376
р-н Краснооктябрьский,3,17,51556.203625892194
р-н Краснооктябрьский,3,18,48797.66904399242
р-н Краснооктябрьский,3,19,48333.33333333334
р-н Краснооктябрьский,4,2,25166.416131026144
р-н Краснооктябрьский,4,4,43289.45003957628
р-н Краснооктябрьский,4,5,41148.564484987495
р-н Краснооктябрьский,4,6,37688.53190539937
р-н Краснооктябрьский,4,7,50161.81229773463
р-н Краснооктябрьский,4,8,50394.67642267977
р-н Краснооктябрьский,4,9,43263.311918367406
р-н Краснооктябрьский,4,10,45385.79058088075
р-н Краснооктябрьский,4,11,42185.72195383789
р-н Краснооктябрьский,4,16,49477.183744438946
р-н Краснооктябрьский,4,19,40916.316526610644
р-н Краснооктябрьский,5,2,16019.417475728156
р-н Краснооктябрьский,5,5,39855.07246376812
р-н Краснооктябрьский,5,9,42325.09924036435
р-н Краснооктябрьский,5,11,34695.65217391304
р-н Краснооктябрьский,6,9,43318.4855233853
р-н Краснооктябрьский,Студия,16,61420.069016617905
р-н Краснооктябрьский,Студия,17,61250.0
р-н Краснооктябрьский,Студия,18,62142.857142857145
р-н Советский,1,2,38329.38453508092
р-н Советский,1,3,53266.9270668334
р-н Советский,1,4,47117.342937237605
р-н Советский,1,5,47622.90854884753
р-н Советский,1,7,49062.56756756756
р-н Советский,1,9,52407.35236265109
р-н Советский,1,10,59374.163284254995
р-н Советский,1,11,70271.50400597577
р-н Советский,1,12,53441.676328306225
р-н Советский,1,13,55084.745762711864
р-н Советский,1,14,51810.85677201682
р-н Советский,1,16,53753.18370562696
р-н Советский,1,17,48169.41717454129
р-н Советский,1,18,58699.899750563
р-н Советский,1,21,51172.7078891258
р-н Советский,1,23,50321.19914346895
р-н Советский,1,24,55035.4873143258
р-н Советский,1,25,73404.25531914894
р-н Советский,2,1,33504.837603198255
р-н Советский,2,2,32675.898691868868
р-н Советский,2,3,47394.127910452284
р-н Советский,2,4,42496.0302906943
р-н Советский,2,5,45098.433168527125
р-н Советский,2,6,47876.8881694619
р-н Советский,2,7,42769.85743380855
р-н Советский,2,8,75000.0
р-н Советский,2,9,50707.48086170976
р-н Советский,2,10,54899.025532385065
р-н Советский,2,11,69169.88503710106
р-н Советский,2,12,58220.67957617831
р-н Советский,2,14,51999.013120333846
р-н Советский,2,16,52887.20234298273
р-н Советский,2,17,40736.02382115184
р-н Советский,2,18,44610.969387755096
р-н Советский,2,24,52642.655814450736
р-н Советский,3,2,32978.2133024663
р-н Советский,3,3,36139.79005215894
р-н Советский,3,4,34378.3716892613
р-н Советский,3,5,41851.68636100295
р-н Советский,3,7,35413.77989047595
р-н Советский,3,8,54569.36226166996
р-н Советский,3,9,47527.50064289955
р-н Советский,3,10,54367.54019045827
р-н Советский,3,11,74166.66666666669
р-н Советский,3,13,66054.03595194884
р-н Советский,3,16,45923.008777070616
р-н Советский,3,17,46063.0393096836
р-н Советский,3,24,44890.116231173335
р-н Советский,4,2,30950.29239766082
р-н Советский,4,3,27619.04761904762
р-н Советский,4,4,33210.761469242854
р-н Советский,4,5,37411.527755480405
р-н Советский,4,6,30794.165316045386
р-н Советский,4,9,44371.64682976542
р-н Советский,4,10,64640.215378229084
р-н Советский,4,16,46563.07606551069
р-н Советский,5,5,40509.259259259255
р-н Советский,Своб. планировка,24,50865.80086580086
р-н Советский,Студия,3,44642.857142857145
р-н Советский,Студия,4,53763.44086021505
р-н Советский,Студия,5,56313.95684645863
р-н Советский,Студия,7,56756.75675675676
р-н Советский,Студия,9,56092.30257419166
р-н Советский,Студия,10,60698.92473118281
р-н Советский,Студия,12,59259.259259259255
р-н Советский,Студия,16,52412.38095238096
р-н Тракторозаводский,1,2,28960.358320449872
р-н Тракторозаводский,1,3,33573.38187297493
р-н Тракторозаводский,1,4,38951.3417597596
р-н Тракторозаводский,1,5,41928.50945754221
р-н Тракторозаводский,1,6,49283.78461349543
р-н Тракторозаводский,1,7,47035.30633437176
р-н Тракторозаводский,1,9,48924.564047470085
р-н Тракторозаводский,1,10,51976.525680714745
р-н Тракторозаводский,1,11,57575.757575757576
р-н Тракторозаводский,1,13,58137.294259333605
р-н Тракторозаводский,1,14,46605.718307624724
р-н Тракторозаводский,1,16,52279.43744079841
р-н Тракторозаводский,1,17,62656.25
р-н Тракторозаводский,1,20,46148.77105724065
р-н Тракторозаводский,2,2,29972.70375575937
р-н Тракторозаводский,2,3,36554.98533836082
р-н Тракторозаводский,2,4,35138.93824820761
р-н Тракторозаводский,2,5,38093.240864213825
р-н Тракторозаводский,2,6,46390.16897081414
р-н Тракторозаводский,2,7,37825.1403894978
р-н Тракторозаводский,2,8,51178.469597506795
р-н Тракторозаводский,2,9,46238.421757568285
р-н Тракторозаводский,2,10,50494.548223225436
р-н Тракторозаводский,2,12,45775.385787769104
р-н Тракторозаводский,2,14,43854.381760248856
р-н Тракторозаводский,2,16,57952.6831240764
р-н Тракторозаводский,2,17,76941.17647058824
р-н Тракторозаводский,3,2,24968.093384924803
р-н Тракторозаводский,3,3,29205.085765054166
р-н Тракторозаводский,3,4,29345.631053459845
