district,rooms,max_floors,rub_by_district
р-н Дзержинский,2,20,44976.2032670907
р-н Дзержинский,2,21,53951.89003436427
р-н Дзержинский,2,22,67731.58482142858
р-н Дзержинский,2,23,65579.1294199163
р-н Дзержинский,2,24,65956.79593373495
р-н Дзержинский,3,1,34532.144565143135
р-н Дзержинский,3,2,33770.30110861365
р-н Дзержинский,3,3,35290.92315400907
р-н Дзержинский,3,4,47356.27228823207
р-н Дзержинский,3,5,41341.72711458634
р-н Дзержинский,3,6,66583.8233993772
р-н Дзержинский,3,7,47663.551401869154
р-н Дзержинский,3,8,55619.58544101401
р-н Дзержинский,3,9,51096.932853365906
р-н Дзержинский,3,10,53370.51078417326
р-н Дзержинский,3,11,61233.673746600485
р-н Дзержинский,3,12,46685.42549961156
р-н Дзержинский,3,13,63027.343913374825
р-н Дзержинский,3,14,62917.75661005159
р-н Дзержинский,3,15,58076.397242497085
р-н Дзержинский,3,16,50764.423604161966
р-н Дзержинский,3,17,61844.8483759321
р-н Дзержинский,3,18,48909.420661540506
р-н Дзержинский,3,19,57272.642772765445
р-н Дзержинский,3,20,49511.82929964261
р-н Дзержинский,3,23,71005.78178117659
р-н Дзержинский,3,24,56001.427751588446
р-н Дзержинский,4,2,37553.30867319344
р-н Дзержинский,4,3,41270.757714756764
р-н Дзержинский,4,4,36470.58823529412
р-н Дзержинский,4,5,41190.66125212869
р-н Дзержинский,4,6,46253.02407034958
р-н Дзержинский,4,9,45829.93127409817
р-н Дзержинский,4,10,49928.543795379075
р-н Дзержинский,4,12,37894.73684210527
р-н Дзержинский,4,14,43063.40431340431
р-н Дзержинский,4,15,53846.15384615384
р-н Дзержинский,4,16,47334.316365626204
р-н Дзержинский,4,17,61471.671254477726
р-н Дзержинский,4,23,68316.83168316832
р-н Дзержинский,5,5,37485.72971842546
р-н Дзержинский,5,9,44247.999902236945
р-н Дзержинский,6,4,32547.169811320764
р-н Дзержинский,Студия,4,54277.59500980901
р-н Дзержинский,Студия,5,48830.47922474446
р-н Дзержинский,Студия,7,51964.28571428571
р-н Дзержинский,Студия,9,60188.372102702735
р-н Дзержинский,Студия,10,62432.39570914246
р-н Дзержинский,Студия,19,61022.93711485604
р-н Дзержинский,Студия,23,60322.580645161295
р-н Дзержинский,Студия,24,74127.90697674418
р-н Кировский,1,1,26741.016167071983
р-н Кировский,1,2,31053.823283878643
р-н Кировский,1,3,60075.731006032875
р-н Кировский,1,4,47635.72843459907
р-н Кировский,1,5,43395.01378364814
р-н Кировский,1,6,45662.05897103358
р-н Кировский,1,7,64599.494326284774
р-н Кировский,1,9,46843.17436303014
р-н Кировский,1,10,54534.510933227226
р-н Кировский,1,14,48126.78062678063
р-н Кировский,1,16,49151.78179968514
р-н Кировский,1,18,43813.95206180979
р-н Кировский,1,24,55074.35714450149
р-н Кировский,2,2,26605.286119202337
р-н Кировский,2,3,31299.511068555763
р-н Кировский,2,4,41773.79192405199
р-н Кировский,2,5,39142.409090125664
р-н Кировский,2,6,44740.435923414654
р-н Кировский,2,7,55953.91857686939
р-н Кировский,2,8,50691.24423963132
р-н Кировский,2,9,43621.92522462994
р-н Кировский,2,10,53469.97949104187
р-н Кировский,2,11,53676.227551507596
р-н Кировский,2,14,42719.681485306326
р-н Кировский,2,16,49235.3218435266
р-н Кировский,2,18,43975.47212240339
р-н Кировский,2,24,60370.37037037037
р-н Кировский,3,2,22359.53591645094
р-н Кировский,3,3,21548.522185359736
р-н Кировский,3,4,34842.423470116744
р-н Кировский,3,5,36575.17348055368
р-н Кировский,3,6,48025.10748340712
р-н Кировский,3,9,42465.51839975857
р-н Кировский,3,10,42324.495701931315
р-н Кировский,3,14,37384.61538461538
р-н Кировский,3,16,39763.87196477396
р-н Кировский,3,24,65298.507462686575
р-н Кировский,4,3,16314.199395770393
р-н Кировский,4,4,25248.399483135843
р-н Кировский,4,5,33823.75459699576
р-н Кировский,4,9,38167.46738707963
р-н Кировский,4,16,43846.61276711338
р-н Кировский,5,16,46363.63636363637
р-н Кировский,Своб.планировка,5,15539.21568627451
р-н Кировский,Студия,5,22497.023809523813
р-н Кировский,Студия,9,56994.81865284974
р-н Кировский,Студия,10,53801.724137931036
р-н Кировский,Студия,11,42896.09644087256
р-н Красноармейский,1,1,28451.882845188287
р-н Красноармейский,1,2,26571.042167905845
р-н Красноармейский,1,3,33281.45349037687
р-н Красноармейский,1,4,33174.61259427391
р-н Красноармейский,1,5,37023.65235701496
р-н Красноармейский,1,7,58888.888888888876
р-н Красноармейский,1,9,41446.454701308125
р-н Красноармейский,1,10,44717.856461298434
р-н Красноармейский,1,11,59520.70060115098
р-н Красноармейский,1,14,42484.516458373604
р-н Красноармейский,1,16,58552.29449941224
р-н Красноармейский,1,17,59302.32558139535
р-н Красноармейский,1,22,42650.60240963855
