iter	Passed	Remaining
419	2585	28195
420	2591	28185
421	2596	28172
422	2602	28156
423	2607	28142
424	2613	28133
425	2619	28126
426	2624	28109
427	2630	28097
428	2635	28085
429	2641	28074
430	2647	28065
431	2653	28053
432	2658	28042
433	2665	28037
434	2674	28070
435	2684	28100
436	2695	28140
437	2713	28260
438	2725	28318
439	2738	28378
440	2749	28426
441	2762	28482
442	2767	28466
443	2772	28449
444	2780	28465
445	2787	28464
446	2793	28454
447	2799	28443
448	2805	28432
449	2811	28423
450	2816	28406
451	2821	28391
452	2827	28378
453	2833	28374
454	2839	28366
455	2846	28361
456	2851	28344
457	2857	28334
458	2862	28323
459	2868	28308
460	2874	28297
461	2880	28291
462	2889	28318
463	2900	28357
464	2911	28394
465	2922	28437
466	2934	28486
467	2946	28535
468	2952	28523
469	2960	28537
470	2966	28520
471	2975	28544
472	2993	28646
473	3005	28702
474	3011	28688
475	3017	28680
476	3023	28665
477	3029	28655
478	3034	28641
479	3039	28625
480	3045	28614
481	3050	28592
482	3055	28577
483	3061	28567
484	3067	28555
485	3073	28547
486	3079	28533
487	3084	28518
488	3089	28502
489	3095	28492
490	3101	28477
491	3105	28455
492	3111	28444
493	3117	28433
494	3123	28423
495	3128	28411
496	3132	28385
497	3137	28366
498	3143	28355
499	3148	28340
500	3155	28332
501	3160	28317
502	3165	28302
503	3171	28292
504	3177	28283
505	3183	28273
506	3188	28256
507	3196	28265
508	3202	28259
509	3208	28248
510	3214	28238
511	3220	28228
512	3226	28218
513	3232	28211
514	3238	28200
515	3243	28186
516	3248	28167
517	3253	28147
518	3258	28134
519	3263	28116
520	3269	28106
521	3274	28093
522	3279	28076
523	3285	28065
524	3291	28059
525	3296	28041
526	3300	28016
527	3304	27991
528	3310	27980
529	3316	27972
530	3321	27955
531	3327	27942
532	3332	27929
533	3338	27916
534	3343	27902
535	3349	27895
536	3354	27878
537	3360	27868
538	3366	27862
539	3372	27850
540	3377	27838
541	3382	27825
542	3388	27812
543	3393	27800
544	3400	27794
545	3405	27783
546	3410	27767
547	3416	27758
548	3421	27742
549	3427	27732
550	3432	27716
551	3438	27704
552	3444	27695
553	3449	27685
554	3454	27665
555	3459	27653
556	3465	27641
557	3470	27626
558	3475	27612
559	3481	27601
560	3487	27593
561	3492	27577
562	3498	27569
563	3506	27578
564	3515	27593
565	3523	27602
566	3528	27590
567	3534	27576
568	3540	27571
569	3546	27564
570	3552	27557
571	3558	27548
572	3564	27540
573	3570	27534
574	3576	27527
575	3582	27513
576	3587	27499
577	3593	27492
578	3599	27483
579	3605	27475
580	3610	27463
581	3616	27454
582	3622	27444
583	3627	27427
584	3633	27421
585	3637	27402
586	3642	27386
587	3648	27373
588	3653	27359
589	3659	27351
590	3664	27338
591	3669	27320
592	3675	27313
593	3680	27299
594	3685	27285
595	3691	27278
596	3697	27266
597	3702	27252
598	3707	27241
599	3713	27230
600	3717	27211
601	3724	27212
602	3730	27203
603	3735	27186
604	3743	27195
605	3749	27185
606	3755	27176
607	3760	27165
608	3765	27150
609	3770	27138
610	3776	27125
611	3782	27119
612	3787	27106
613	3792	27088
614	3796	27071
615	3801	27056
616	3807	27050
617	3813	27037
618	3817	27021
619	3823	27008
620	3829	27001
621	3833	26984
622	3839	26971
623	3844	26962
624	3850	26953
625	3855	26936
626	3860	26923
627	3866	26915
628	3871	26904
629	3876	26891
630	3882	26880
631	3887	26865
632	3892	26850
633	3896	26835
634	3902	26823
635	3906	26807
636	3912	26797
637	3923	26828
638	3934	26850
639	3947	26894
640	3954	26894
641	3961	26893
642	3967	26885
643	3972	26872
644	3978	26860
645	3984	26852
646	3990	26845
647	3995	26834
648	4001	26827
649	4007	26817
650	4012	26802
651	4017	26791
652	4023	26781
653	4028	26770
654	4036	26773
655	4049	26815
656	4059	26831
657	4065	26825
658	4071	26819
659	4075	26801
660	4081	26789
661	4086	26778
662	4091	26761
663	4095	26746
664	4101	26739
665	4106	26719
666	4111	26710
667	4117	26699
668	4121	26684
669	4127	26674
670	4133	26666
671	4138	26652
672	4144	26643
673	4149	26635
674	4154	26617
675	4159	26608
676	4165	26599
677	4171	26589
678	4177	26584
679	4183	26574
680	4186	26552
681	4192	26544
682	4198	26534
683	4203	26521
684	4209	26515
685	4215	26506
686	4221	26500
687	4226	26486
688	4230	26471
689	4236	26464
690	4242	26457
